Wavelength,sCone,mCone,lCone,rod,mel
380,NaN,NaN,NaN,5.89e-04,9.18165e-04 
381,NaN,NaN,NaN,6.65e-04,1.04557e-03 
382,NaN,NaN,NaN,7.52e-04,1.17858e-03 
383,NaN,NaN,NaN,8.54e-04,1.32279e-03 
384,NaN,NaN,NaN,9.72e-04,1.48381e-03 
385,NaN,NaN,NaN,1.108e-03,1.66724e-03 
386,NaN,NaN,NaN,1.268e-03,1.88102e-03 
387,NaN,NaN,NaN,1.453e-03,2.12989e-03 
388,NaN,NaN,NaN,1.668e-03,2.41457e-03 
389,NaN,NaN,NaN,1.918e-03,2.73583e-03 
390,6.14265e-03,3.58227e-04,4.07619e-04,2.209e-03,3.09442e-03 
391,7.44280e-03,4.38660e-04,4.97068e-04,2.547e-03,3.50706e-03 
392,9.01661e-03,5.36230e-04,6.04713e-04,2.939e-03,3.99078e-03 
393,1.09170e-02,6.54061e-04,7.33640e-04,3.394e-03,4.54679e-03 
394,1.32053e-02,7.95649e-04,8.87247e-04,3.921e-03,5.17625e-03 
395,1.59515e-02,9.64828e-04,1.06921e-03,4.53e-03,5.88035e-03 
396,1.92347e-02,1.16572e-03,1.28340e-03,5.24e-03,6.69334e-03 
397,2.31436e-02,1.40263e-03,1.53382e-03,6.05e-03,7.65102e-03 
398,2.77750e-02,1.67992e-03,1.82443e-03,6.98e-03,8.75694e-03 
399,3.32339e-02,2.00180e-03,2.15896e-03,8.06e-03,1.00146e-02 
400,3.96308e-02,2.37208e-03,2.54073e-03,9.29e-03,1.14277e-02 
401,4.70801e-02,2.79433e-03,2.97282e-03,1.070e-02,1.30767e-02 
402,5.57012e-02,3.27374e-03,3.45993e-03,1.231e-02,1.50397e-02 
403,6.56137e-02,3.81660e-03,4.00793e-03,1.413e-02,1.73166e-02 
404,7.69323e-02,4.43021e-03,4.62370e-03,1.619e-02,1.99071e-02 
405,8.97612e-02,5.12316e-03,5.31546e-03,1.852e-02,2.28112e-02 
406,1.04188e-01,5.90458e-03,6.09138e-03,2.113e-02,2.63194e-02 
407,1.20273e-01,6.78005e-03,6.95291e-03,2.405e-02,3.05964e-02 
408,1.38044e-01,7.75260e-03,7.89634e-03,2.730e-02,3.54538e-02 
409,1.57485e-01,8.82286e-03,8.91300e-03,3.089e-02,4.07028e-02 
410,1.78530e-01,9.98841e-03,9.98835e-03,3.484e-02,4.61550e-02 
411,2.01077e-01,1.12452e-02,1.11054e-02,3.916e-02,5.17822e-02 
412,2.25091e-01,1.25949e-02,1.22607e-02,4.39e-02,5.77804e-02 
413,2.50566e-01,1.40425e-02,1.34578e-02,4.90e-02,6.42972e-02 
414,2.77507e-01,1.55944e-02,1.47044e-02,5.45e-02,7.14801e-02 
415,3.05941e-01,1.72596e-02,1.60130e-02,6.04e-02,7.94766e-02 
416,3.35858e-01,1.90467e-02,1.73958e-02,6.68e-02,8.91807e-02 
417,3.66981e-01,2.09545e-02,1.88452e-02,7.36e-02,1.00756e-01 
418,3.98876e-01,2.29763e-02,2.03440e-02,8.08e-02,1.13256e-01 
419,4.30998e-01,2.51017e-02,2.18700e-02,8.85e-02,1.25732e-01 
420,4.62692e-01,2.73163e-02,2.33957e-02,9.66e-02,1.37237e-01 
421,4.93357e-01,2.96062e-02,2.48961e-02,1.052e-01,1.47446e-01 
422,5.23006e-01,3.19746e-02,2.63761e-02,1.141e-01,1.57014e-01 
423,5.51939e-01,3.44330e-02,2.78541e-02,1.235e-01,1.66463e-01 
424,5.80599e-01,3.69983e-02,2.93551e-02,1.334e-01,1.76316e-01 
425,6.09570e-01,3.96928e-02,3.09104e-02,1.436e-01,1.87096e-01 
426,6.39359e-01,4.25402e-02,3.25498e-02,1.541e-01,1.99210e-01 
427,6.69651e-01,4.55474e-02,3.42714e-02,1.651e-01,2.12408e-01 
428,6.99829e-01,4.87161e-02,3.60620e-02,1.764e-01,2.26225e-01 
