,S�,S+,DL
Wavelength [nm],Ee [W/(sqm*nm)],Ee [W/(sqm*nm)],Ee [W/(sqm*nm)]
380,0.00E+00,9.73E-05,0.00E+00
390,0.00E+00,1.67E-06,0.00E+00
400,0.00E+00,5.56E-05,0.00E+00
410,0.00E+00,7.15E-04,0.00E+00
420,1.09E-06,6.14E-03,9.53E-08
430,0.00E+00,9.54E-03,4.02E-06
440,0.00E+00,2.63E-03,1.22E-05
450,0.00E+00,6.90E-04,2.46E-05
460,1.20E-06,2.35E-04,1.02E-05
470,2.71E-06,9.64E-05,7.40E-06
480,2.08E-05,5.61E-05,5.34E-06
490,7.17E-05,3.04E-05,2.84E-06
500,2.91E-04,3.78E-05,2.74E-06
510,9.95E-04,3.38E-05,5.21E-06
520,2.37E-03,6.34E-05,1.12E-05
530,2.78E-03,1.22E-04,1.78E-05
540,1.76E-03,2.95E-04,1.85E-05
550,1.02E-03,7.01E-04,1.26E-05
560,5.37E-04,1.40E-03,7.01E-06
570,3.04E-04,2.31E-03,4.59E-06
580,2.42E-04,3.11E-03,3.78E-06
590,3.91E-04,3.63E-03,3.29E-06
600,1.09E-03,4.03E-03,3.63E-06
610,3.09E-03,4.84E-03,1.06E-05
620,8.88E-03,7.45E-03,1.26E-05
630,2.19E-02,1.39E-02,3.29E-05
640,2.68E-02,1.21E-02,1.27E-05
650,5.02E-03,3.14E-03,2.36E-06
660,8.36E-04,1.47E-03,1.02E-06
670,1.98E-04,9.49E-04,7.88E-07
680,5.79E-05,6.77E-04,6.48E-07
690,3.20E-05,4.96E-04,7.67E-07
700,2.04E-05,3.52E-04,4.90E-07
710,7.54E-06,2.57E-04,7.02E-07
720,1.51E-05,1.76E-04,1.38E-08
730,6.59E-06,1.28E-04,0.00E+00
740,1.48E-05,8.96E-05,4.71E-07
750,0.00E+00,7.43E-05,8.36E-07
760,9.86E-06,5.07E-05,1.74E-06
770,2.30E-06,3.46E-05,2.72E-06
780,8.15E-06,5.00E-05,6.12E-06
