,SÐ,S+,DL
Wavelength [nm],Ee [W/(sqm*nm)],Ee [W/(sqm*nm)],Ee [W/(sqm*nm)]
380,0.00E+00,9.73E-05,0.00E+00
381,3.54E-06,5.78E-05,0.00E+00
382,6.94E-06,3.71E-05,1.27E-06
383,1.07E-05,5.54E-05,6.37E-06
384,7.62E-06,4.89E-05,5.31E-06
385,6.31E-07,2.75E-05,4.40E-07
386,0.00E+00,4.26E-05,1.83E-06
387,0.00E+00,4.82E-05,2.49E-06
388,0.00E+00,2.92E-05,6.90E-07
389,0.00E+00,1.48E-05,0.00E+00
390,0.00E+00,1.67E-06,0.00E+00
391,0.00E+00,1.76E-06,0.00E+00
392,0.00E+00,2.88E-06,0.00E+00
393,0.00E+00,8.32E-07,0.00E+00
394,0.00E+00,6.89E-06,0.00E+00
395,0.00E+00,1.81E-05,0.00E+00
396,0.00E+00,3.06E-05,0.00E+00
397,0.00E+00,3.87E-05,0.00E+00
398,0.00E+00,2.69E-05,0.00E+00
399,0.00E+00,3.28E-05,0.00E+00
400,0.00E+00,5.56E-05,0.00E+00
401,8.64E-07,7.14E-05,0.00E+00
402,1.52E-06,8.45E-05,0.00E+00
403,4.95E-07,9.82E-05,0.00E+00
404,0.00E+00,1.25E-04,0.00E+00
405,0.00E+00,1.67E-04,0.00E+00
406,0.00E+00,2.30E-04,0.00E+00
407,0.00E+00,3.04E-04,0.00E+00
408,0.00E+00,4.20E-04,0.00E+00
409,0.00E+00,5.57E-04,0.00E+00
410,0.00E+00,7.15E-04,0.00E+00
411,0.00E+00,9.28E-04,0.00E+00
412,0.00E+00,1.16E-03,0.00E+00
413,0.00E+00,1.51E-03,0.00E+00
414,3.29E-07,1.90E-03,0.00E+00
415,1.12E-06,2.35E-03,0.00E+00
416,7.41E-07,2.92E-03,0.00E+00
417,0.00E+00,3.56E-03,0.00E+00
418,0.00E+00,4.36E-03,0.00E+00
419,3.11E-07,5.21E-03,2.71E-08
420,1.09E-06,6.14E-03,9.53E-08
421,7.43E-07,7.13E-03,5.05E-07
422,0.00E+00,8.14E-03,1.01E-06
423,0.00E+00,9.15E-03,8.75E-07
424,0.00E+00,1.01E-02,1.02E-06
425,0.00E+00,1.08E-02,1.63E-06
426,5.44E-07,1.11E-02,1.68E-06
427,1.29E-06,1.12E-02,1.50E-06
428,5.01E-07,1.09E-02,2.42E-06
429,0.00E+00,1.04E-02,3.28E-06
430,0.00E+00,9.54E-03,4.02E-06
431,0.00E+00,8.58E-03,4.19E-06
432,0.00E+00,7.57E-03,4.08E-06
433,0.00E+00,6.67E-03,5.91E-06
434,0.00E+00,5.80E-03,7.59E-06
435,0.00E+00,4.98E-03,8.99E-06
436,0.00E+00,4.34E-03,9.79E-06
437,0.00E+00,3.78E-03,1.03E-05
438,0.00E+00,3.35E-03,1.02E-05
439,0.00E+00,2.97E-03,1.07E-05
440,0.00E+00,2.63E-03,1.22E-05
441,0.00E+00,2.35E-03,1.45E-05
442,0.00E+00,2.11E-03,1.72E-05
443,0.00E+00,1.87E-03,1.87E-05
444,0.00E+00,1.64E-03,2.02E-05
445,0.00E+00,1.41E-03,2.22E-05
446,7.58E-07,1.22E-03,2.38E-05
447,1.95E-06,1.04E-03,2.50E-05
448,8.60E-07,9.21E-04,2.56E-05
449,0.00E+00,8.04E-04,2.57E-05
450,0.00E+00,6.90E-04,2.46E-05
451,0.00E+00,6.12E-04,2.31E-05
452,0.00E+00,5.57E-04,2.14E-05
453,0.00E+00,4.89E-04,1.91E-05
454,0.00E+00,4.32E-04,1.70E-05
455,0.00E+00,4.03E-04,1.52E-05
456,0.00E+00,3.67E-04,1.38E-05
457,0.00E+00,3.26E-04,1.27E-05
458,0.00E+00,2.92E-04,1.13E-05
459,2.38E-07,2.60E-04,1.03E-05
460,1.20E-06,2.35E-04,1.02E-05
461,1.04E-06,2.12E-04,9.95E-06
462,9.04E-08,1.91E-04,9.61E-06
463,0.00E+00,1.67E-04,9.22E-06
464,1.05E-07,1.49E-04,8.94E-06
465,5.48E-07,1.44E-04,9.02E-06
466,7.31E-07,1.34E-04,8.55E-06
467,7.21E-07,1.18E-04,7.68E-06
468,3.36E-07,1.04E-04,7.90E-06
469,4.82E-07,9.39E-05,8.03E-06
470,2.71E-06,9.64E-05,7.40E-06
471,1.06E-05,9.33E-05,6.94E-06
472,2.35E-05,8.52E-05,6.64E-06
473,2.02E-05,7.69E-05,6.72E-06
474,1.38E-05,7.00E-05,6.74E-06
475,4.46E-06,6.97E-05,6.35E-06
476,4.90E-06,6.50E-05,6.37E-06
477,1.43E-05,5.63E-05,6.77E-06
478,1.33E-05,5.30E-05,6.38E-06
479,1.29E-05,5.18E-05,5.87E-06
480,2.08E-05,5.61E-05,5.34E-06
481,2.14E-05,5.59E-05,4.96E-06
482,1.56E-05,5.18E-05,4.72E-06
483,3.34E-05,4.35E-05,4.46E-06
484,4.85E-05,3.72E-05,4.31E-06
485,4.23E-05,3.98E-05,4.52E-06
486,4.39E-05,3.71E-05,4.40E-06
487,5.17E-05,3.03E-05,4.03E-06
488,6.45E-05,3.08E-05,3.74E-06
489,7.42E-05,3.17E-05,3.42E-06
490,7.17E-05,3.04E-05,2.84E-06
491,8.10E-05,2.96E-05,2.61E-06
492,1.00E-04,2.93E-05,2.68E-06
493,1.10E-04,2.69E-05,2.83E-06
494,1.22E-04,2.53E-05,2.90E-06
495,1.46E-04,2.84E-05,2.50E-06
496,1.65E-04,2.98E-05,2.45E-06
497,1.81E-04,2.97E-05,2.72E-06
498,2.28E-04,3.72E-05,2.68E-06
499,2.74E-04,4.34E-05,2.62E-06
500,2.91E-04,3.78E-05,2.74E-06
501,3.23E-04,3.31E-05,2.92E-06
502,3.69E-04,2.91E-05,3.14E-06
503,4.27E-04,2.51E-05,3.14E-06
504,4.90E-04,2.41E-05,3.10E-06
505,5.69E-04,3.54E-05,3.03E-06
506,6.40E-04,3.98E-05,3.28E-06
507,7.05E-04,3.83E-05,3.79E-06
508,7.97E-04,3.79E-05,4.13E-06
509,8.95E-04,3.70E-05,4.53E-06
510,9.95E-04,3.38E-05,5.21E-06
511,1.10E-03,3.27E-05,5.45E-06
512,1.22E-03,3.33E-05,5.33E-06
513,1.36E-03,3.09E-05,5.82E-06
514,1.51E-03,2.91E-05,6.36E-06
515,1.64E-03,3.10E-05,6.76E-06
516,1.77E-03,3.72E-05,7.44E-06
517,1.90E-03,4.71E-05,8.37E-06
518,2.08E-03,4.88E-05,9.18E-06
519,2.26E-03,5.20E-05,1.01E-05
520,2.37E-03,6.34E-05,1.12E-05
521,2.47E-03,7.02E-05,1.20E-05
522,2.55E-03,7.35E-05,1.26E-05
523,2.67E-03,7.25E-05,1.34E-05
524,2.76E-03,7.33E-05,1.43E-05
525,2.79E-03,8.15E-05,1.51E-05
526,2.83E-03,8.96E-05,1.60E-05
527,2.87E-03,9.75E-05,1.67E-05
528,2.86E-03,1.05E-04,1.75E-05
529,2.83E-03,1.12E-04,1.81E-05
530,2.78E-03,1.22E-04,1.78E-05
531,2.71E-03,1.32E-04,1.81E-05
532,2.65E-03,1.44E-04,1.87E-05
533,2.56E-03,1.57E-04,1.87E-05
534,2.46E-03,1.69E-04,1.87E-05
535,2.33E-03,1.81E-04,1.87E-05
536,2.22E-03,2.01E-04,1.87E-05
537,2.13E-03,2.26E-04,1.87E-05
538,2.00E-03,2.51E-04,1.84E-05
539,1.87E-03,2.75E-04,1.83E-05
540,1.76E-03,2.95E-04,1.85E-05
541,1.67E-03,3.24E-04,1.86E-05
542,1.59E-03,3.56E-04,1.85E-05
543,1.50E-03,3.87E-04,1.82E-05
544,1.41E-03,4.20E-04,1.79E-05
545,1.34E-03,4.61E-04,1.76E-05
546,1.27E-03,5.02E-04,1.69E-05
547,1.20E-03,5.42E-04,1.60E-05
548,1.13E-03,5.90E-04,1.49E-05
549,1.07E-03,6.41E-04,1.38E-05
550,1.02E-03,7.01E-04,1.26E-05
551,9.53E-04,7.60E-04,1.17E-05
552,8.87E-04,8.19E-04,1.11E-05
553,8.44E-04,8.78E-04,1.06E-05
554,8.00E-04,9.40E-04,1.00E-05
555,7.52E-04,1.01E-03,9.20E-06
556,7.06E-04,1.09E-03,8.62E-06
557,6.61E-04,1.18E-03,8.16E-06
558,6.12E-04,1.25E-03,7.92E-06
559,5.70E-04,1.32E-03,7.55E-06
560,5.37E-04,1.40E-03,7.01E-06
561,5.09E-04,1.49E-03,6.62E-06
562,4.82E-04,1.58E-03,6.31E-06
563,4.50E-04,1.67E-03,6.25E-06
564,4.18E-04,1.76E-03,6.00E-06
565,3.86E-04,1.84E-03,5.51E-06
566,3.66E-04,1.93E-03,5.20E-06
567,3.51E-04,2.02E-03,4.95E-06
568,3.34E-04,2.13E-03,4.74E-06
569,3.18E-04,2.22E-03,4.62E-06
570,3.04E-04,2.31E-03,4.59E-06
571,2.87E-04,2.40E-03,4.34E-06
572,2.71E-04,2.49E-03,4.08E-06
573,2.69E-04,2.59E-03,4.00E-06
574,2.65E-04,2.67E-03,3.90E-06
575,2.61E-04,2.75E-03,3.77E-06
576,2.51E-04,2.82E-03,3.76E-06
577,2.43E-04,2.90E-03,3.87E-06
578,2.43E-04,2.97E-03,4.39E-06
579,2.42E-04,3.04E-03,4.32E-06
580,2.42E-04,3.11E-03,3.78E-06
581,2.35E-04,3.17E-03,3.90E-06
582,2.35E-04,3.24E-03,3.98E-06
583,2.58E-04,3.30E-03,3.75E-06
584,2.75E-04,3.35E-03,3.84E-06
585,2.87E-04,3.40E-03,4.15E-06
586,3.06E-04,3.44E-03,3.98E-06
587,3.24E-04,3.49E-03,3.87E-06
588,3.38E-04,3.53E-03,3.91E-06
589,3.62E-04,3.58E-03,3.67E-06
590,3.91E-04,3.63E-03,3.29E-06
591,4.34E-04,3.66E-03,3.14E-06
592,4.81E-04,3.70E-03,3.10E-06
593,5.34E-04,3.75E-03,3.26E-06
594,5.82E-04,3.80E-03,3.01E-06
595,6.29E-04,3.85E-03,2.62E-06
596,7.01E-04,3.88E-03,2.63E-06
