"λ, nm",FL1,FL2*,FL3,FL4,FL5,FL6,FL7*,FL8
380,1.87,1.18,0.82,0.57,1.87,1.05,2.56,1.21
381,1.968,1.24,0.86,0.596,1.9660000000000002,1.102,2.684,1.268
382,2.066,1.3,0.9,0.622,2.0620000000000003,1.1540000000000001,2.8080000000000003,1.326
383,2.1639999999999997,1.3599999999999999,0.94,0.6479999999999999,2.1580000000000004,1.206,2.9320000000000004,1.384
384,2.262,1.42,0.98,0.6739999999999999,2.254,1.258,3.056,1.442
385,2.36,1.48,1.02,0.7,2.35,1.31,3.18,1.5
386,2.476,1.552,1.068,0.734,2.464,1.374,3.3120000000000003,1.562
387,2.592,1.624,1.116,0.768,2.578,1.438,3.444,1.624
388,2.708,1.6960000000000002,1.1640000000000001,0.802,2.692,1.502,3.576,1.686
389,2.824,1.768,1.212,0.836,2.806,1.5659999999999998,3.708,1.748
390,2.94,1.84,1.26,0.87,2.92,1.63,3.84,1.81
391,3.046,1.9020000000000001,1.296,0.892,3.026,1.684,3.9779999999999998,1.874
392,3.152,1.964,1.332,0.914,3.132,1.738,4.116,1.938
393,3.258,2.026,1.3679999999999999,0.9359999999999999,3.238,1.7919999999999998,4.2540000000000004,2.002
394,3.3640000000000003,2.088,1.404,0.958,3.3440000000000003,1.8459999999999999,4.392,2.066
395,3.47,2.15,1.44,0.98,3.45,1.9,4.53,2.13
396,3.81,2.408,1.666,1.186,3.7800000000000002,2.142,4.854,2.338
397,4.15,2.666,1.892,1.392,4.11,2.384,5.178,2.546
398,4.49,2.924,2.118,1.5979999999999999,4.4399999999999995,2.626,5.502000000000001,2.754
399,4.83,3.182,2.344,1.8039999999999998,4.77,2.868,5.8260000000000005,2.9619999999999997
400,5.17,3.44,2.57,2.01,5.1,3.11,6.15,3.17
401,8.033999999999999,5.890000000000001,4.927999999999999,4.358,7.862,5.448,8.794,5.152
402,10.898,8.34,7.286,6.7059999999999995,10.623999999999999,7.786,11.438,7.134
403,13.761999999999999,10.790000000000001,9.643999999999998,9.053999999999998,13.386,10.124,14.082,9.116
404,16.625999999999998,13.24,12.001999999999999,11.402,16.148,12.462,16.726,11.097999999999999
405,19.49,15.69,14.36,13.75,18.91,14.8,19.37,13.08
406,16.817999999999998,13.322,12.027999999999999,11.39,16.328,12.526,16.970000000000002,11.23
407,14.145999999999999,10.954,9.696,9.03,13.746,10.252,14.57,9.379999999999999
408,11.474,8.586,7.364,6.669999999999999,11.164000000000001,7.978000000000001,12.170000000000002,7.529999999999999
409,8.802,6.218,5.032,4.309999999999999,8.582,5.704000000000001,9.770000000000001,5.68
410,6.13,3.85,2.7,1.95,6.0,3.43,7.37,3.83
411,6.152,3.8280000000000003,2.6500000000000004,1.878,6.022,3.404,7.306,3.754
412,6.174,3.806,2.6,1.806,6.0440000000000005,3.378,7.242,3.678
413,6.196,3.7840000000000003,2.5500000000000003,1.734,6.066,3.352,7.178,3.6020000000000003
414,6.218,3.762,2.5,1.662,6.088,3.326,7.114,3.5260000000000002
415,6.24,3.74,2.45,1.59,6.11,3.3,7.05,3.45
416,6.394,3.83,2.5060000000000002,1.624,6.258,3.376,7.1819999999999995,3.532
417,6.548,3.9200000000000004,2.5620000000000003,1.6580000000000001,6.406,3.452,7.314,3.614
418,6.702,4.010000000000001,2.618,1.692,6.554,3.528,7.446,3.696
419,6.856,4.1000000000000005,2.674,1.726,6.702,3.604,7.578,3.778
420,7.01,4.19,2.73,1.76,6.85,3.68,7.71,3.86
421,7.1659999999999995,4.276000000000001,2.784,1.794,6.9959999999999996,3.758,7.85,3.972
422,7.322,4.362,2.838,1.828,7.1419999999999995,3.8360000000000003,7.99,4.084
423,7.478,4.448,2.892,1.8619999999999999,7.288,3.914,8.13,4.196
424,7.634,4.534,2.946,1.896,7.434,3.9920000000000004,8.27,4.308
425,7.79,4.62,3.0,1.93,7.58,4.07,8.41,4.42
426,7.944,4.708,3.056,1.964,7.726,4.146,8.558,4.554
427,8.098,4.796,3.112,1.998,7.872,4.222,8.706,4.688
428,8.252,4.8839999999999995,3.1679999999999997,2.032,8.018,4.298,8.854000000000001,4.822
429,8.406,4.9719999999999995,3.2239999999999998,2.066,8.164,4.3740000000000006,9.002,4.9559999999999995
430,8.56,5.06,3.28,2.1,8.31,4.45,9.15,5.09
431,15.582,11.044,8.994,7.736000000000001,14.8,10.082,16.148,10.892
432,22.604,17.028,14.708,13.372,21.29,15.713999999999999,23.146,16.694000000000003
433,29.626000000000005,23.011999999999997,20.422000000000004,19.008000000000003,27.78,21.346,30.144,22.496000000000002
434,36.648,28.996,26.136000000000003,24.644000000000002,34.269999999999996,26.977999999999998,37.142,28.298000000000002
435,43.67,34.98,31.85,30.28,40.76,32.61,44.14,34.1
436,38.324,30.345999999999997,27.374000000000002,25.830000000000002,35.82,28.236,38.816,29.764000000000003
437,32.978,25.712,22.898,21.380000000000003,30.88,23.862000000000002,33.492000000000004,25.428
438,27.632,21.078000000000003,18.421999999999997,16.93,25.939999999999998,19.488,28.168,21.092
439,22.286,16.444000000000003,13.945999999999998,12.48,21.0,15.114,22.844,16.756
440,16.94,11.81,9.47,8.03,16.06,10.74,17.52,12.42
441,15.696000000000002,10.702,8.38,6.933999999999999,14.911999999999999,9.688,16.286,11.472
442,14.452000000000002,9.594000000000001,7.29,5.837999999999999,13.764,8.636,15.052,10.524
443,13.208,8.486,6.199999999999999,4.742,12.616,7.584,13.818,9.576
444,11.964,7.378,5.109999999999999,3.646,11.468,6.532,12.584,8.628
445,10.72,6.27,4.02,2.55,10.32,5.48,11.35,7.68
446,10.846,6.342,4.066,2.58,10.438,5.54,11.48,7.864
447,10.972,6.414,4.112,2.61,10.556000000000001,5.6000000000000005,11.61,8.048
