Wavelength [nm],Illuminant FL1,Illuminant FL2,Illuminant FL3,Illuminant FL4,Illuminant FL5,Illuminant FL6,Illuminant FL7,Illuminant FL8,Illuminant FL9,Illuminant FL10,Illuminant FL11,Illuminant FL12,Illuminant FL3.1,Illuminant FL3.2,Illuminant FL3.3,Illuminant FL3.4,Illuminant FL3.5,Illuminant FL3.6,Illuminant FL3.7,Illuminant FL3.8,Illuminant FL3.9,Illuminant FL3.10,Illuminant FL3.11,Illuminant FL3.12,Illuminant FL3.13,Illuminant FL3.14,Illuminant FL3.15,Illuminant LED-B1,Illuminant LED-B2,Illuminant LED-B3,Illuminant LED-B4,Illuminant LED-B5,Illuminant LED-BH1,Illuminant LED-RGB1,Illuminant LED-V1,Illuminant LED-V2,Illuminant HP1,Illuminant HP2,Illuminant HP3,Illuminant HP4,Illuminant HP5
380,1.87,1.18,0.82,0.57,1.87,1.05,2.56,1.21,0.9,1.11,0.91,0.96,2.39,5.8,8.94,3.46,4.72,5.53,3.79,4.18,3.77,0.25,3.85,1.62,2.23,2.87,300,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,1.90,2.64,3.15,9.80,0.34
385,2.36,1.48,1.02,0.7,2.35,1.31,3.18,1.5,1.12,0.8,0.63,0.64,2.93,6.99,11.21,3.86,5.82,6.63,2.56,2.93,2.64,0,2.91,2.06,2.92,3.69,286,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.03,0.06,2.20,2.77,7.49,13.30,7.11
390,2.94,1.84,1.26,0.87,2.92,1.63,3.84,1.81,1.36,0.62,0.46,0.4,3.82,8.7,14.08,4.41,7.18,8.07,1.91,2.29,2.06,0,2.56,2.71,3.91,4.87,268,0.01,0.00,0.01,0.00,0.01,0.02,0.00,0.14,0.26,2.50,3.42,10.87,19.97,11.49
395,3.47,2.15,1.44,0.98,3.45,1.9,4.53,2.13,1.6,0.57,0.37,0.33,4.23,9.89,16.48,4.51,8.39,9.45,1.42,1.98,1.87,0,2.59,3.11,4.55,5.82,244,0.02,0.01,0.02,0.01,0.03,0.04,0.01,0.61,1.15,2.70,3.68,12.57,25.81,14.97
400,5.17,3.44,2.57,2.01,5.1,3.11,6.15,3.17,2.59,1.48,1.29,1.19,4.97,11.59,19.63,4.86,9.96,11.28,1.51,2.44,2.55,0.69,3.63,3.67,5.46,7.17,304,0.04,0.02,0.05,0.03,0.07,0.08,0.02,2.62,4.47,3.10,4.33,12.97,24.69,14.95
405,19.49,15.69,14.36,13.75,18.91,14.8,19.37,13.08,12.8,12.16,12.68,12.48,86.3,94.53,116.33,71.22,58.86,61.47,73.64,70.7,71.68,21.24,74.54,74.6,77.4,72.21,581,0.07,0.05,0.11,0.08,0.16,0.17,0.05,8.43,11.98,4.30,5.50,21.29,47.66,29.14
410,6.13,3.85,2.7,1.95,6,3.43,7.37,3.83,3.05,2.12,1.59,1.12,11.65,20.8,32.07,8.72,15.78,17.8,7.37,10.19,12.05,2.18,14.69,8.88,11.25,13.69,225,0.15,0.11,0.25,0.21,0.35,0.41,0.11,16.51,19.89,3.80,5.94,26.29,54.44,38.08
415,6.24,3.74,2.45,1.59,6.11,3.3,7.05,3.45,2.56,2.7,1.79,0.94,7.09,16.52,29.72,5.36,15.1,17.47,4.69,9.79,13.57,1.86,17.22,4.77,7.69,11.12,155,0.28,0.24,0.56,0.54,0.78,0.93,0.24,17.90,20.24,4.20,7.20,30.18,63.82,51.56
420,7.01,4.19,2.73,1.76,6.85,3.68,7.71,3.86,2.86,3.74,2.46,1.08,7.84,18.3,33.39,5.61,17.3,20.12,5.33,13.21,19.6,3.1,24.99,4.72,8.29,12.43,152,0.53,0.50,1.20,1.31,1.67,1.84,0.50,11.26,14.39,4.80,9.02,43.06,85.52,62.56
425,7.79,4.62,3,1.93,7.58,4.07,8.41,4.42,3.3,5.14,3.33,1.37,8.59,20.33,36.94,5.91,19.66,23.05,6.75,17.79,27.33,5,34.4,4.72,8.98,13.9,170,0.92,0.96,2.37,2.75,3.30,3.05,0.94,5.94,8.95,5.19,10.27,29.58,60.54,55.61
